date,dataset,metric,value
2023-11-14 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,50626765
2023-10-14 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,29812850
2023-11-12 00:00:00.000,O_DUSCIS_FINAL,count,55816386
2023-09-20 00:00:00.000,ledger_na,count,85857487
2023-10-21 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,24923343
2023-11-14 00:00:00.000,O_DUSCIS_FINAL,count,57674170
2023-09-29 00:00:00.000,O_DUSCIS_FINAL,count,46069835
2023-10-25 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_found,13353845.47999986
2023-10-04 00:00:00.000,O_DUSCIS_FINAL,count,51837125
2023-10-27 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_found,13303595.939999683
2023-10-11 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,67785558
2023-09-19 00:00:00.000,ledger_na,count,88171435
2023-10-10 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,30552977
2023-10-21 00:00:00.000,O_DUSCIS_FINAL,count,44965569
2023-10-24 00:00:00.000,ledger_na,count,92486532
2023-10-28 00:00:00.000,ledger_na,count,79138995
2023-10-30 00:00:00.000,ledger_na,count,3322040
2023-11-07 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,48457918
2023-11-09 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,29936266
2023-10-20 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,num_items,32622689
2023-10-25 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_coverage_rate,0.35
2023-10-14 00:00:00.000,O_DUSCIS_FINAL,count,52639204
2023-10-21 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_coverage_rate,0.52
2023-09-25 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,26476978
2023-10-28 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_coverage_rate,0.44
2023-10-26 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,num_items,34755699
2023-10-24 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_coverage_rate,0.35
2023-10-24 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_found,16198045.509999089
2023-09-27 00:00:00.000,O_DUSCIS_FINAL,count,50818566
2023-11-09 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,44171070
2023-09-27 00:00:00.000,ledger_na,count,85445334
2023-10-18 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,49209864
2023-09-17 00:00:00.000,ledger_na,count,81845635
2023-10-07 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,33802274
2023-10-01 00:00:00.000,O_DUSCIS_FINAL,count,51154559
2023-10-05 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,28234945
2023-10-20 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_found,19352719.940000314
2023-10-28 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_coverage_rate,0.36
2023-10-29 00:00:00.000,O_DUSCIS_FINAL,count,51445851
2023-11-13 00:00:00.000,O_DUSCIS_FINAL,count,62096569
2023-09-25 00:00:00.000,ledger_na,count,86188095
2023-10-22 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,21649159
2023-10-27 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_coverage_rate,0.43
2023-10-13 00:00:00.000,ledger_na,count,98196170
2023-11-04 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,34622662
2023-10-29 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,39012764
2023-11-05 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,19808126
2023-09-30 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,34026220
2023-11-04 00:00:00.000,O_DUSCIS_FINAL,count,44850667
2023-10-24 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,num_items,38180084
2023-11-01 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,41606341
2023-09-22 00:00:00.000,ledger_na,count,72424467
2023-10-23 00:00:00.000,ledger_na,count,90124248
2023-10-23 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_coverage_rate,0.42
2023-10-23 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_coverage_rate,0.35
2023-10-19 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,31409168
2023-10-19 00:00:00.000,ledger_na,count,307488482
2023-10-04 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,28607484
2023-11-11 00:00:00.000,O_DUSCIS_FINAL,count,68059622
2023-11-06 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,27211957
2023-11-01 00:00:00.000,O_DUSCIS_FINAL,count,48879036
2023-11-13 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,53040833
2023-10-13 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,36488177
2023-10-24 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_found,13276503.309999704
2023-11-04 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,23503282
2023-10-12 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,64378796
2023-11-07 00:00:00.000,O_DUSCIS_FINAL,count,56014159
2023-10-27 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,29410160
2023-10-27 00:00:00.000,O_DUSCIS_FINAL,count,48289912
2023-10-05 00:00:00.000,O_DUSCIS_FINAL,count,50076889
2023-10-08 00:00:00.000,O_DUSCIS_FINAL,count,49681525
2023-11-10 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,20537884
2023-10-23 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,28376295
2023-11-10 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,29178554
2023-10-15 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,44320634
2023-10-22 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_found,13959136.020000117
2023-10-29 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,num_items,22843880
2023-10-11 00:00:00.000,O_DUSCIS_FINAL,count,74921512
2023-10-21 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,34864690
2023-10-06 00:00:00.000,ledger_na,count,82845701
2023-10-16 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,31605808
2023-10-24 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,47839401
2023-10-26 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_coverage_rate,0.35
2023-11-01 00:00:00.000,ledger_na,count,723726
2023-11-02 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,26420187
2023-10-24 00:00:00.000,O_DUSCIS_FINAL,count,55537449
2023-10-08 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,19629015
2023-10-13 00:00:00.000,O_DUSCIS_FINAL,count,61909553
2023-09-30 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,22861431
2023-10-31 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,43111956
2023-10-20 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_found,17171733.470000222
2023-11-09 00:00:00.000,O_DUSCIS_FINAL,count,51233047
2023-11-07 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,30086660
2023-11-12 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,22531189
2023-09-28 00:00:00.000,O_DUSCIS_FINAL,count,48570289
2023-10-24 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,29971033
2023-10-29 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_coverage_rate,0.46
2023-10-09 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,24829055
